ENTIDADE;PUBLICAÇÃO;Nº de páginas WORD;Nº de páginas estimado;Variação nº de págs estimado sobre nº de págs Word;COMPLEXIDADE;FORNECEDOR;DESCRIÇÃO;Nº DA PLANILHA; CUSTO TOTAL ;DATA DE ENVIO;DATA DE APROVAÇÃO;ANÁLISTA RESPONSÁVEL;SOLICITAÇÃO DE COMPRAS;PEDIDO DE COMPRAS;STATUS DE PGTO;NOTA FISCAL;DATA DE PGTO;Nº de páginas finais;Variação nº de págs do o Word sobre nº de págs finais;Variação nº de págs finais sobre nº de págs estimado;STATUS
CNI;Efeitos da gestão sobre a produtividade daas empresas;31;48;55%;Média;Editorar;Adaptação de projeto gráfico, editoração e finalização, gráficos e PDF interativo;233867;R$ 797,40 ;07/jan;13/jan;André;042260;186503;Pago;NF 731;22/03/2020;52;68%;-8%;Foram faturadas 52 páginas com complexidade média.
CNI;Programas de Ajuste;56;70;25%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização;233895;R$ 2.835,00 ;03/fev;04/fev;André;042387;186970;Pago;NF 737;22/04/2020;66;18%;6%;Foram faturadas 66 páginas. PAGA NO PERÍODO DA QUARENTENA.
SENAI;Manual para desenvolvimento de recursos didáticos;72;110;53%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização, infográfico, gráficos, tabelas e PDF interativo ;233885;R$ 6.959,68 ;07/fev;10/fev;Walner;---;341811;Pago;NF 750;22/05/2020;86;19%;22%;Foram faturadas 86 páginas.
SENAI;Metodologia SENAI de Desenvolvimento;50;80;60%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização, infográfico, gráficos, tabelas e PDF interativo ;233886;R$ 5.008,64 ;07/fev;10/fev;Walner;---;341813;Pago;NF 751;22/05/2020;68;36%;15%;Foram faturadas 68 páginas. 
SENAI;Guia CT e QB;28;65;132%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização, infográfico, tabelas e PDF interativo ;233887;R$ 2.052,98 ;07/fev;10/fev;Walner;---;341814;Pago;NF 752;22/05/2020;46;64%;29%;Foram faturadas 46 páginas.
SENAI;Guia Customizado;24;48;100%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização, infográfico, tabelas e PDF interativo ;233888;R$ 1.905,90 ;07/fev;10/fev;Walner;---;341815;Pago;NF 753;22/05/2020;30;25%;38%;Foram faturadas 30 páginas.
SENAI;Guia Autoinstrucionais;10;40;300%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização por página e PDF interativo;233889;R$ 987,10 ;07/fev;10/fev;Walner;---;341816;Pago;NF 754;22/05/2020;20,00;100%;50%;Foram faturadas 20 páginas.
SENAI;Guia Adaptativo;22;45;105%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização e PDF interativo;233890;R$ 1.275,90 ;07/fev;15-Mai;Walner;---;341959;Pago;NF 763;22/06/2020;30;36%;33%;Foram faturadas 30 páginas.
SENAI;Guia Microlearning;12;35;192%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização por página e PDF interativo;233891;R$ 1.044,86 ;07/fev;15-Mai;Walner;---;341960;Pago;NF 764;22/06/2020;22;83%;37%;Foram faturadas 22 páginas.
SENAI;Templates;19;45;137%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização por página e PDF interativo;233892;R$ 976,62 ;07/fev;10/fev;Walner;---;341817;Pago;NF 757;22/05/2020;24;26%;47%;Foram faturadas 24 páginas.
CNI;Agenda Jurídica da Indústria 2020;158;220;39%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização por página;233884;R$ 5.557,50 ;11/fev;13/fev;André;042516;187821;Pago;NF 733;22/03/2020;176;11%;20%;Foram faturadas 176 páginas.
CNI;Agenda Internacional da Indústria 2020;72;110;53%;Alta;Editorar;Editoração e finalização por página e PDF interativo;233896;R$ 3.118,92 ;12/fev;13/fev;André;042586;187276;Pago;NF 738;22/04/2020;84;17%;24%;Foram faturadas 84 págnias. PAGA NO PERÍODO DA QUARENTENA.
CNI;O Brasil e os Códigos de Liberalização da OCDE;66;98;48%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização e PDF interativo;233893;R$ 4.839,75 ;30/jan;15/fev;Walner;042526;187274;Pago;NF 732;22/03/2020;98;48%;0%;Foram faturadas 98 páginas.
CNI;Planejamento estratégico da MEI;19;45;137%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e PDF interativo;233898;R$ 1.219,24 ;20/fev;21/fev;André;042621;187884;Pago;NF 746;22/04/2020;38;100%;16%;Planilha recebida não tem assinatura original da gestora. / Foram faturadas 38 páginas. PAGA NO PERÍODO DA QUARENTENA.
CNI;Tradução dos Relatórios EUA e EU sobre distorções na China;67;110;64%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização, infográfico, gráficos e PDF interativo;233903;R$ 6.426,44 ;06/mar;06/mar;André;042788;187882;Pago;NF 740;22/04/2020;88;31%;20%;Foram faturadas 88 páginas. PAGA NO PERÍODO DA QUARENTENA.
CNI;Estudo sobre Medidas Compensatórias aplicadas contra a China;38;75;97%;Alta;Editorar;Adaptação de projeto gráfico, editoração e PDF interativo;233904;R$ 3.726,34 ;06/mar;06/mar;André;042790;187883;Pago;NF 741;22/04/2020;68;79%;9%;Foram faturadas 68 páginas. PAGA NO PERÍODO DA QUARENTENA.
CNI;Agenda Legislativa 2020;207;310;50%;Alta;Editorar;Editoração e finalização por página e PDF interativo;233908;R$ 10.990,48 ;10/mar;10/mar;André;042835;187887;Pago;NF 743;22/04/2020;296;43%;5%;Foram faturadas 296 páginas. PAGA NO PERÍODO DA QUARENTENA.
CNI;Circular Economy Strategic Path For Brazilian Industry;46;80;74%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização e PDF interativo;233909;R$ 4.023,38 ;12/mar;16/mar;André;042954;188093;Pago;NF 744;22/04/2020;76;65%;5%;Foram faturadas 76 páginas. PAGA NO PERÍODO DA QUARENTENA.
CNI;Caderno de Ações e Resultados 2019;67;100;49%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização por página, infográfico e PDF interativo;233899;R$ 14.931,00 ;20/mar;23/mar;André;043005;188420;Pago;NF 739;22/04/2020;86;28%;14%;Planilha atualizada dia 20/03 - SC antiga 042655 / Foram faturadas 86 páginas. PAGA NO PERÍODO DA QUARENTENA.
CNI;Cartilha de Licenciamento Ambiental;15;15;0%;Baixa;Editorar;Editoração e finalização por página;233910;R$ 173,25 ;20/mar;23/mar;Walner;043006;188072;Pago;NF 745;22/04/2020;15;0%;0%;PAGA NO PERÍODO DA QUARENTENA. Foram faturadas 15 páginas.
CNI;LGPD O que a sua empresa precisa saber;43;72;67%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização e PDF interativo;235092;R$ 5.936,50 ;26/mar;27/mar;André;043037;188421;Pago;NF 747;22/04/2020;68;58%;6%;Foram faturadas 68 páginas. PAGA NO PERÍODO DA QUARENTENA.
SESI;Panorama Rede SESI;78;120;54%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização e PDF interativo;233906;R$ 9.059,04 ;31/mar;01-Abr;Walner;---;226040;Pago;NF 761;22/05/2020;108;38%;10%;Planilha atualizada dia 31/03. Foram faturadas 108 páginas.
SENAI;Competições científicas como forma de estímulo ao pensamento crítico;70;120;71%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização, infográfico, gráficos, tabelas e PDF interativo ;233839;R$ 12.564,60 ;03-Abr;03-Abr;Walner;341684;341684;Pago;NF 735;22/04/2020;120;71%;0%;Planilha atualizada dia 03/04. Foram faturadas 120 páginas. PAGA NO PERÍODO DA QUARENTENA.
CNI;Pocket ALI 2020;17;40;135%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização por página e PDF interativo;233907;R$ 1.219,24 ;03-Abr;06-Abr;André;043107;188456;Pago;NF 742;22/04/2020;38;124%;5%;Planilha atualizada dia 03/04 - SC antiga 042833 / Foram faturadas 38 páginas. PAGA NO PERÍODO DA QUARENTENA.
CNI;Manual sobre Cooperação Regulatória;50;80;60%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização por página, infográficos e PDF interativo;235193;R$ 5.677,08 ;07-Abr;08-Abr;André;043132;188459;Pago;NF 766;22/06/2020;66;32%;18%;Foram faturadas 66 páginas.
SESI;Resultados e Desafios 2019;55;71;29%;Média;Editorar;Editoração e finalização por página;235195;R$ 141,08 ;08-Abr;13-Abr;Walner;---;226189;Pago;NF 767;22/06/2020;57;4%;20%;Foram faturadas 57 páginas.
SENAI;Resultados e Desafios 2019;55;71;29%;-;Editorar;Editoração e finalização por página;235195;R$ 141,07 ;08-Abr;13-Abr;Walner;---;226189;Pago;NF 767;22/06/2020;57;4%;20%;Foram faturadas 57 páginas.
IEL;Resultados e Desafios 2019;55;71;29%;-;Editorar;Editoração e finalização por página;235195;R$ 0,00 ;08-Abr;13-Abr;Walner;---;226189;Pago;NF 767;22/06/2020;57;4%;20%;Foram faturadas 57 páginas.
CNI;Impactos jurídicos da saída do Brasil;86;130;51%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização por página, infográficos e PDF interativo;235305;R$ 4.581,00 ;29-Abr;30-Abr;André;043257;188819;Pago;NF 768;22/06/2020;82;-5%;37%;Foram faturadas 82 páginas.
CNI;Análise dos impactos regulatórios da ratificação do protocolo de nagoia;90;135;50%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização por página, infográficos e PDF interativo;235313 ;R$ 5.670,42 ;07-Mai;08-Mai;André;043463;189512;Pago;NF 769;22/06/2020;84;-7%;38%;Foram faturadas 84 páginas.
CNI;Documento de referência para implantação das DCNs de engenharia;49;84;71%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização por página, infográficos, ilustração e PDF interativo;235320;R$ 10.264,50 ;04/jun;08/jun;André;043712;190325;Pago;NF 779;22/07/2020;84;71%;0%;Planilha atualizada dia 04/06. SC antiga 043412 desconsiderada. Foram faturadas 84 páginas.
SENAI;Relatório de Gestão 2019 - SENAI;168;168;0%;Alta;Editorar;Progeto gráfico (relatório), editoração e finalização, infográfico, gráficos, tabelas, ilustração e PDF interativo.;-;R$ 53.631,00 ;13-Mai;13-Mai;André;---;341820;Pago;NF 755;22/05/2020;168;0%;0%;Foram faturadas 168 páginas.
SESI;Relatório de Gestão 2019 - SESI;162;162;0%;Alta;Editorar;Progeto gráfico (relatório), editoração e finalização, infográfico, gráficos, tabelas, ilustração e PDF interativo.;-;R$ 53.716,50 ;13-Mai;13-Mai;André;---;226041;Pago;NF 756;22/05/2020;162;0%;0%;Foram faturadas 162 páginas.
CNI;OMC Sem Orgão de Apelação;46;70;52%;Média;Editorar;Adaptação de projeto gráfico, editoração e finalização e PDF interativo;235353;R$ 507,60 ;18-Mai;01/jun;André;043716;190007;Pago;NF 780;22/07/2020;54;17%;23%;Planilha atualizada. SC antiga 043626 desconsiderada por causa da exclusão do PDF interativo. Foram faturadas 54 páginas.
CNI;Roadmap;40;70;75%;Baixa;Editorar;Projeto gráfico, editoração e finalização e PDF interativo;235469;R$ 1.766,34 ;21-Mai;22-Mai;André;043512;189231;Pago;NF 781;22/07/2020;48;20%;31%;Foram faturadas 48 páginas.
CNI;Pesquisa de Percepção do Corpo Diplomático;77;120;56%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização e PDF interativo;235495;R$ 4.914,50 ;27-Mai;28-Mai;Walner;043589;189948;Pago;NF 782;22/07/2020;100;30%;17%;Foram faturadas 100 páginas.
CNI;Acordo para evitar a dupla tributação entre Brasil e Reino Unido;24;48;100%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização e PDF interativo;235502;R$ 1.184,58 ;01/jun;01/jun;Walner;043628;189349;Pago;NF 783;22/07/2020;36;50%;25%;Foram faturadas 36 páginas.
CNI;Compatibilidade da cláusula de arbitragem com os acordos para evitar a dupla tributação;20;48;140%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização e PDF interativo;235509;R$ 1.184,58 ;02/jun;04/jun;Walner;043715;190006;Pago;NF 784;22/07/2020;36;80%;25%;Foram faturadas 36 páginas.
CNI;Modelos Aduaneiros Globais;59;90;53%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização, infográfico e gráfico;235519;R$ 4.531,50 ;15/jun;16/jun;Walner;043750;190348;Pago;NF 786;22/07/2020;78;32%;13%;Planilha não constava PDF interativo. Foram faturadas 78 páginas.
CNI;A agenda ambiental e de químicos da OCDE e o Brasil;48;75;56%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização por página, infográfico e PDF interativo;235512;R$ 4.661,25 ;18/jun;18/jun;Walner;043831;190349;Pago;NF 785;22/07/2020;66;38%;12%;Foram faturadas 66 páginas.
CNI;Agenda para a Alemanha;28;48;71%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização e PDF interativo;235520;R$ 999,60 ;15/jun;22/jun;André;043810;189945;Pago;NF 793;22/08/2020;38;36%;21%;
CNI;Agenda para o Japão;29;48;66%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização e PDF interativo;235534;R$ 1.022,70 ;15/jun;22/jun;André;043811;189946;Pago;NF 794;22/08/2020;40;38%;17%;
CNI;A agenda ambiental e de químicos da OCDE e o Brasil;48;75;56%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização por página, infográfico e PDF interativo;235512;R$ 4.661,25 ;18/jun;18/jun;Walner;043831;190349;Pago;NF 785;22/07/2020;66;38%;12%;
CNI;Agenda para Argentina;39;68;74%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização e PDF interativo;235650;R$ 1.115,10 ;22/jun;23/jun;André;043813;189947;Pago;NF 795;22/08/2020;48;23%;29%;
CNI;Agenda of The United States;42;70;67%;Média;Editorar;Adaptação de projeto gráfico, editoração e finalização e PDF interativo;235652;R$ 507,60 ;24/jun;30/jun;André;043881;190100;Pago;NF 797;22/08/2020;54;29%;23%;
CNI;Agenda para o BRICS;32;48;50%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização e PDF interativo;235651;R$ 1.068,90 ;24/jun;30/jun;André;043883;190099;Pago;NF 796;22/08/2020;44;38%;8%;
CNI;Governança de dados;40;70;75%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização por página;235664;R$ 547,20;26/jun;06/jul;Walner;043992;190727;Pago;NF 802;22/09/2020;62;55%;11%;
CNI;Normas & Políticas de uso;39;68;74%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização por página;235665;R$ 2.835,00;26/jun;06/jul;Walner;043993;190350;Pago;NF 801;22/09/2020;66;69%;3%;
CNI;Bioeconomia e a Indústria (ADITIVO);73;110;51%;Alta;Editorar;Acréscimo de 25% sobre o valor pactuado inicialmente devido ao número 4 de alterações na publicação editorial;235142;R$ 1.535,20 ;06/jul;09/jul;André;043995;190351;Pago;NF 790;22/08/2020;110;51%;0%;
CNI;Mecanismo de desenvolvimento sustentável e competitividade industrial;64;90;41%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização e PDF interativo;235806;R$ 4.543,20;03-Ago;06-Ago;André;044258;190825;Empenhado;;;;-100%;100%;
CNI;Agenda para a China;23;48;109%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização;235810;R$ 907,20;03-Ago;04-Ago;André;044215;190728;Pago;NF 805;22/09/2020;30;30%;38%;
CNI;Agenda for the BRICS Countries;34;68;100%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização;235811;R$ 1.068,90;03-Ago;04-Ago;André;044216;190729;Pago;NF 803;22/09/2020;44;29%;35%;
CNI;Agenda para a Índia;22;48;118%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização;235812;R$ 907,20;03-Ago;12-Ago;André;044336;191128;Pago;NF 804;22/09/2020;30;36%;38%;
CNI;Desempenho exportador das multinacionais brasileiras;28;48;71%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização;235831;R$ 1.045,80;07-Ago;10-Ago;Walner;044293;190890;Pago;NF 806;22/09/2020;42;50%;13%;
CNI;A difusão das tecnologias da indústria 4.0 em empresas brasileiras;34;48;41%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização;235832;R$ 1.115,10;18-Ago;19-Ago;André;044396;;Empenhado;;;;-100%;100%;
CNI;Financiamento para Clima;44;48;9%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização e PDF interativo;235874;R$ 2.222,04;04/set;08/set;Walner;044441;191679;Empenhado;;;48;9%;0%;
CNI;Agenda for Germany;30;48;60%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização;235876;R$ 1.115,10;25-Ago;26-Ago;André;044469;191255;Empenhado;;;38;27%;21%;
CNI;Estudo sobre o impacto econômico;68;98;44%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização por página, infográficos e PDF interativo;235878;R$ 6.190,24;25-Ago;28/ago;Walner;044500;191284;Empenhado;;;66;-3%;33%;
CNI;Agenda para o México;26;48;85%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização;235880;R$ 1.115,10;27-Ago;28/ago;André;044488;191280;Empenhado;;;36;38%;25%;
CNI;Agenda para o Reino Unido;23;46;100%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização;235881;R$ 1.092,00;27-Ago;28/ago;André;044490;191281;Empenhado;;;30;30%;35%;
CNI;Agenda para a França;22;46;109%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização;235883;R$ 1.092,00;27-Ago;28/ago;André;044494;191283;Empenhado;;;30;36%;35%;
CNI;Agenda para Coreia do Sul;20;46;130%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização;235882;R$ 1.092,00;27-Ago;28/ago;André;044492;191282;Empenhado;;;28;40%;39%;
CNI;Mineração no Brasil;142;198;39%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização, gráficos e PDF interativo;235798;R$ 9.835,74;01/set;10/set;Walner;044633;191720;Empenhado;;;144;1%;27%;
CNI;Proposta de regime para desonerar as importações ;75;110;47%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização, infográficos e PDF interativo;235905;R$ 6.635,80 ;08/set;10/set;Walner;044756;;Empenhado;;;;-100%;100%;
CNI;Nova Camex;38;68;79%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização e PDF interativo;235909;R$ 2.884,50 ;09/set;11/set;André;044665;;Empenhado;;;48;26%;29%;
CNI;Teletrabalho no Brasil e mundo;48;75;56%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização;235964;R$ 3.057,75 ;11/set;14/set;André;044681;;Empenhado;;;64;33%;15%;
SESI;Educação Infantil 3 anos;45;70;56%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização;235979;R$ 2.934,00 ;14/set;15/set;André;;;Empenhado;;;54;20%;23%;
SESI;Educação Infantil 4 e 5 anos;81;114;41%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização;235980;R$ 4.023,00 ;14/set;15/set;André;;;Empenhado;;;76;-6%;33%;
SESI;EJA - Anos Finais;28;48;71%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização;235981;R$ 1.115,10 ;14/set;15/set;André;;;Empenhado;;;34;21%;29%;
SESI;EJA B - Anos Finais;28;48;71%;Baixa;Editorar;Editoração e finalização;235981B;R$ 554,40 ;21/set;21/set;André;;;Empenhado;;;34;21%;29%;
SESI;EJA - Ensino Médio;30;48;60%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização;235984;R$ 1.115,10 ;14/set;15/set;Walner;;;Empenhado;;;36;20%;25%;
SESI;EJA B  - Ensino Médio;30;48;60%;Baixa;Editorar;Editoração e finalização;235984B;R$ 554,40 ;21/set;21/set;Walner;;;Empenhado;;;38;27%;21%;
SESI;Ensino Fundamental - Anos Finais;424;460;8%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização;235985;R$ 12.586,50 ;21/set;Em aprovação;Walner;;;Empenhado;;;414;-2%;10%;
SESI;Ensino Fundamental - Anos Iniciais;373;420;13%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização;235986;R$ 11.596,50 ;21/set;Em aprovação;Walner;;;Empenhado;;;398;7%;5%;
SESI;EJA - Anos Iniciais;30;48;60%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização;235983;R$ 1.115,10 ;14/set;15/set;André;;;Empenhado;;;36;20%;25%;
SESI;EJA B - Anos Iniciais;30;48;60%;Baixa;Editorar;Editoração e finalização;235983B;R$ 554,40 ;21/set;21/set;André;;;Empenhado;;;34;13%;29%;
CNI;Agenda for Japan;29;48;66%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização;236021;R$ 1.115,10 ;23/set;28/set;André;044827;;Empenhado;;;;-100%;100%;
SESI;Fortalecimento da defesa comercial;24;48;100%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização;236025;R$ 1.115,10 ;24/set;25/set;Walner;;;Empenhado;;;36;50%;25%;
SESI;Relatório de Atividades 2019 - SESI / SENAI / IEL - ID 233900;100;120;20%;Alta;Icomunicação;Criação de projeto gráfico e editoração;001/2020;R$ 10.971,00 ;09/mar;11/mar;Walner;225979;225979;Pago;NF 1305;22/05/2020;82;-18%;32%;Foram faturadas 82 páginas.
SENAI;Guia MSEP - Ensino Superior;49;96;96%;Média;Icomunicação;Adaptação de projeto gráfico, editoração e finalização;235513;R$ 661,05 ;18/jun;19/jun;Walner;342301;342301;Pago;NF 1350;22/08/2020;52;6%;46%;
SENAI;Guia de Operacionalização da MSEP;56;104;86%;Alta;Icomunicação;Adaptação de projeto gráfico, editoração e finalização;235514;R$ 4.295,25 ;15/jun;15/jun;Walner;006176;342420;Pago;NF 1360;22/09/2020;72;29%;31%;
SENAI;MSEP / 1º Guia da Prática Pedagógica;38;48;26%;Baixa;Icomunicação;Adaptação de projeto gráfico, editoração e finalização;235700;R$ 1.357,65 ;15/jul;21/jul;André;006164;342408;Pago;NF 1361;22/09/2020;44;16%;8%;
SENAI;MSEP / 2º Guia da Prática Pedagógica;33;44;33%;Baixa;Icomunicação;Adaptação de projeto gráfico, editoração e finalização;235701;R$ 1.265,25 ;15/jul;17/jul;Walner;006165;342409;Pago;NF 1362;22/09/2020;40;21%;9%;
SENAI;Guia de Operalização PSAI Sustentável;33;72;118%;Baixa;Icomunicação;Adaptação de projeto gráfico, editoração e finalização;235710;R$ 1.450,05 ;21/jul;22/jul;André;006198;342455;Pago;NF 1365;22/09/2020;48;45%;33%;
SENAI;Introdução ao método do emprego apoiado;12;24;100%;Baixa;Icomunicação;Adaptação de projeto gráfico, editoração e finalização;235813;R$ 895,65 ;12/ago;13/ago;Walner;006209;342474;Pago;NF 1366;22/09/2020;24;100%;0%;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;MÉDIA;;;;;;;;;;;;;;;MÉDIA;;
;;GERAL;;70%;;GERAL;;;;;;;;;;;;;27%;24%;
;;EDITORAR;;70%;;EDITORAR;;;;;;;;;;;;;27%;;
;;ICOMUNICAÇÃO;;68%;;ICOMUNICAÇÃO;;;;;;;;;;;;;28%;;
;;;;;;;;;;;;;;;;;;;;;
42;;;;;;;;;;;;;;;;;;;;;